Nome completo do funcionário,Data de nascimento do funcionário,CPF do funcionário,Matrícula do funcionário,Cargo do funcionário,Setor de trabalho do funcionário,Data de início da ausência,Data de término da ausência,Total de dias de ausência,Código Internacional de Doenças (CID),Nome da doença (descrição do CID),Data da consulta médica,CRM do médico responsável,Nome do médico responsável,Local da consulta médica (hospital/clínica),Tipo de atendimento (ambulatorial/internação),Tipo de ausência (afastamento total/parcial),Laudo médico (sim/não),Tipo de laudo (perícia/consulta),Tratamento recomendado (medicação/repouso/outro),Data da emissão do atestado,Data de recebimento do atestado pelo RH,Histórico de ausências médicas anteriores,Horário da consulta médica,Regime de trabalho (CLT/Estatutário),Data de retorno ao trabalho prevista,Data de retorno ao trabalho efetiva,Tipo de vínculo empregatício (efetivo/temporário),Justificativa do médico para o afastamento,Status da análise do pedido de ausência (aprovado/pendente/rejeitado)
Luiza Pinto,1991-01-01,962.387.015-95,63498,Procurador de justiça,possimus,2024-05-10,2024-04-22,9,D0059,consectetur,2024-04-21,74966-P,Sr. João Miguel Castro,Fogaça e Filhos,internação,afastamento total,não,consulta,repouso,2024-03-02,2024-04-04,5,09:33:04,CLT,2024-05-19,2024-06-07,temporário,Quasi doloremque perferendis nam eos nemo tempore.,pendente
Stella da Rosa,2005-11-21,298.567.301-12,51957,Telegrafista,tempora,2024-03-03,2024-05-19,5,C0059,omnis,2024-01-09,99778-P,João Rocha,Teixeira S.A.,ambulatorial,afastamento total,não,consulta,medicação,2024-01-31,2024-01-17,0,08:11:30,Estatutário,2024-03-10,2024-06-17,efetivo,Laborum harum nisi laborum molestiae veritatis.,rejeitado
Sr. Heitor da Costa,1998-04-08,472.680.139-22,79670,Trilheiro ou músico de cinema,eveniet,2024-02-06,2024-01-18,11,D0094,labore,2024-02-18,85389-S,Dr. Pedro Rodrigues,da Rosa Campos e Filhos,ambulatorial,afastamento parcial,não,consulta,medicação,2024-03-13,2024-02-22,3,05:05:21,Estatutário,2024-05-18,2024-03-15,efetivo,Enim architecto in ipsam quam accusantium.,aprovado
Joana Moura,1985-03-25,465.172.389-64,80066,Engenheiro de ergonomia,eius,2024-06-15,2024-06-14,30,B009,fugit,2024-03-25,25529-S,João Felipe Ferreira,Moreira,internação,afastamento parcial,não,perícia,outro,2024-02-10,2024-03-12,4,04:32:21,Estatutário,2024-01-19,2024-04-07,efetivo,Tempore consequuntur pariatur doloremque.,pendente
Marina Silveira,1965-11-20,691.243.587-46,37105,Cameraman,ipsam,2024-02-18,2024-05-16,1,C003,laborum,2024-02-16,18818-P,Nicolas Azevedo,Campos,internação,afastamento parcial,sim,consulta,outro,2024-03-29,2024-03-06,1,20:13:08,CLT,2024-03-22,2024-05-30,temporário,Ea quo repellat corrupti.,aprovado
Beatriz Cardoso,1960-06-22,350.948.671-48,30248,Infectologista,omnis,2024-01-08,2024-01-10,11,C0089,ducimus,2024-01-11,53673-P,Rafaela Gonçalves,da Rocha,internação,afastamento total,sim,perícia,outro,2024-02-15,2024-02-21,5,00:50:42,CLT,2024-03-04,2024-03-04,efetivo,Repellendus commodi modi adipisci quaerat.,rejeitado
João Felipe Melo,1988-12-06,159.374.620-25,20648,Caminhoneiro,repudiandae,2024-05-01,2024-03-25,11,D007,delectus,2024-01-12,16732-P,Lucca Fogaça,Correia - EI,ambulatorial,afastamento total,sim,perícia,outro,2024-02-17,2024-01-27,1,12:12:26,CLT,2024-04-05,2024-01-28,temporário,Optio odio impedit illo porro sequi.,aprovado
Camila da Cunha,1981-06-23,781.924.356-28,234,Odontologista legal,quo,2024-06-16,2024-01-01,11,B0092,minus,2024-02-06,93190-S,Srta. Lara Duarte,Rocha,ambulatorial,afastamento total,não,perícia,repouso,2024-01-05,2024-03-26,1,15:15:51,CLT,2024-06-04,2024-03-11,temporário,Atque labore possimus eaque.,pendente
Sr. Vitor Gabriel Carvalho,1984-10-07,785.349.210-32,98950,Capitão,maxime,2024-06-06,2024-05-26,4,A0055,molestiae,2024-01-23,19915-S,Vitor Gabriel da Paz,da Rocha Gonçalves - ME,ambulatorial,afastamento parcial,não,consulta,medicação,2024-03-15,2024-03-08,4,16:31:04,CLT,2024-03-27,2024-01-17,temporário,Optio praesentium qui natus saepe ipsum laudantium.,aprovado
Sr. Carlos Eduardo da Mota,1963-06-24,172.698.453-28,68724,Armeiro,illo,2024-04-04,2024-05-05,11,D0029,eligendi,2024-02-17,86160-P,Cauê da Cunha,Teixeira,ambulatorial,afastamento parcial,sim,consulta,outro,2024-05-30,2024-02-18,4,04:45:23,CLT,2024-03-11,2024-04-02,temporário,Tempore sunt velit quas voluptatum repellendus pariatur.,rejeitado
Matheus Nogueira,2004-07-03,062.497.583-56,26411,Especialista em agronegócios,minus,2024-05-16,2024-01-30,9,B0035,ullam,2024-01-04,75419-P,Dr. Yuri Moura,Ribeiro Jesus - EI,ambulatorial,afastamento total,não,consulta,medicação,2024-04-24,2024-06-01,5,09:12:07,Estatutário,2024-02-13,2024-01-18,efetivo,Inventore accusamus aut nemo nisi quasi temporibus.,rejeitado
Helena Lima,1980-01-05,940.176.832-31,63421,Químico farmacêutico,eaque,2024-03-17,2024-04-17,4,C0023,dolore,2024-05-22,97111-P,Maria Julia Freitas,Silveira,ambulatorial,afastamento parcial,não,consulta,repouso,2024-02-27,2024-02-27,0,04:02:40,Estatutário,2024-05-27,2024-05-09,temporário,Expedita labore voluptatem tempora nihil architecto eum.,rejeitado
Joana Costela,1968-07-21,328.760.541-08,95576,Governanta,quibusdam,2024-01-14,2024-03-06,17,D0017,facilis,2024-06-09,16414-S,Sabrina Ramos,Dias Pires - ME,internação,afastamento total,não,perícia,repouso,2024-05-21,2024-06-14,0,08:11:54,CLT,2024-01-28,2024-02-24,efetivo,Delectus animi consequatur iusto ut amet.,rejeitado
João Miguel Viana,1974-04-24,097.425.836-92,23929,Esgrimista,quam,2024-04-25,2024-01-15,22,D0088,quod,2024-05-26,26827-P,Sra. Natália Martins,Rezende Ramos S/A,ambulatorial,afastamento total,não,perícia,repouso,2024-04-11,2024-06-10,0,17:55:09,Estatutário,2024-02-07,2024-02-08,efetivo,Enim itaque totam blanditiis eveniet deleniti.,rejeitado
Samuel da Conceição,1965-11-26,981.673.205-02,40056,Oceanógrafo,animi,2024-06-06,2024-03-28,26,D0037,corporis,2024-03-16,36492-P,João Felipe Cardoso,Caldeira Dias S/A,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-03-19,2024-05-11,1,06:36:44,Estatutário,2024-02-27,2024-03-20,efetivo,Hic dolorum nostrum aperiam reprehenderit.,aprovado
Gabriela Novaes,1965-04-24,175.843.926-28,54064,Turismólogo,doloremque,2024-04-05,2024-02-28,2,A0010,soluta,2024-05-31,54150-P,Ana Júlia Costela,Ferreira,ambulatorial,afastamento total,não,perícia,outro,2024-06-02,2024-01-27,5,23:30:28,CLT,2024-04-23,2024-03-02,efetivo,Id libero iste aliquid fuga.,rejeitado
Luiza Ferreira,1967-09-27,638.742.910-22,59738,Engenheiro metalúrgico,voluptatum,2024-03-28,2024-02-15,9,A0049,cupiditate,2024-03-18,57523-P,Dr. João Guilherme Viana,da Cunha,ambulatorial,afastamento parcial,não,consulta,medicação,2024-06-06,2024-01-20,0,23:14:27,CLT,2024-05-28,2024-05-02,efetivo,Officiis debitis culpa nemo.,rejeitado
Elisa Oliveira,1981-12-28,854.016.792-11,36053,Astrônomo,odit,2024-04-27,2024-05-17,24,B0023,quam,2024-01-08,51116-S,Cecília Farias,Rezende Campos - EI,internação,afastamento parcial,não,consulta,outro,2024-05-10,2024-06-14,3,05:43:50,Estatutário,2024-05-13,2024-01-14,temporário,Reprehenderit cupiditate incidunt.,pendente
Rafael Rocha,1999-08-09,815.639.074-10,16379,Penhorista,quod,2024-03-30,2024-06-13,2,C0028,recusandae,2024-04-27,32307-P,Leandro Vieira,Porto,ambulatorial,afastamento parcial,não,perícia,repouso,2024-04-05,2024-02-20,4,07:57:57,CLT,2024-05-07,2024-03-15,efetivo,Quaerat blanditiis cupiditate inventore.,pendente
Emilly Ramos,1965-10-04,501.894.732-23,86002,Produtor editorial,non,2024-03-10,2024-01-09,25,A0027,dolor,2024-04-17,52958-P,Luana Cunha,Ferreira da Mota S.A.,internação,afastamento total,não,consulta,outro,2024-04-22,2024-05-19,0,21:55:07,CLT,2024-05-25,2024-05-08,efetivo,Mollitia sint odio magni alias quis ex.,aprovado
Sra. Maitê Sales,1974-12-19,981.542.603-60,31999,Mágico,laudantium,2024-04-17,2024-02-06,14,D0039,nobis,2024-01-05,54752-S,Dra. Ana Laura Freitas,Sales - EI,ambulatorial,afastamento total,não,consulta,repouso,2024-03-02,2024-01-22,3,16:50:54,CLT,2024-05-17,2024-02-08,efetivo,Aut voluptas nulla eos placeat.,rejeitado
Sophia Ribeiro,1995-10-09,512.380.679-21,64892,Artesão,debitis,2024-06-17,2024-06-03,3,C0077,impedit,2024-03-28,17917-S,Isabelly Alves,Ramos,internação,afastamento parcial,sim,perícia,repouso,2024-05-22,2024-05-14,1,22:47:53,Estatutário,2024-01-26,2024-02-28,efetivo,Temporibus soluta beatae sit occaecati doloremque possimus.,pendente
Gustavo Henrique Duarte,1973-06-15,715.328.096-03,64811,Headhunter,vero,2024-02-27,2024-05-19,17,C0066,reiciendis,2024-01-11,93233-P,Emanuel Mendes,Correia das Neves - ME,ambulatorial,afastamento parcial,não,perícia,repouso,2024-03-20,2024-05-01,5,03:11:11,CLT,2024-01-13,2024-03-12,temporário,Pariatur error nemo labore inventore quas similique.,rejeitado
Ana Caldeira,2003-07-17,869.253.047-65,60635,Corregedor de justiça,eos,2024-01-31,2024-03-27,3,D0046,asperiores,2024-01-07,64738-S,Kamilly Alves,Cavalcanti Ltda.,internação,afastamento total,sim,consulta,medicação,2024-04-18,2024-02-19,3,23:58:57,Estatutário,2024-04-14,2024-04-16,temporário,Sequi natus fugiat animi doloribus aperiam.,aprovado
Dr. Otávio Silveira,1988-12-19,024.139.587-97,14297,Engenheiro mecânico,nulla,2024-02-25,2024-01-09,15,A0079,sunt,2024-03-13,48297-S,Breno Farias,Novaes,internação,afastamento total,sim,perícia,outro,2024-05-19,2024-05-23,2,17:00:11,CLT,2024-06-15,2024-03-01,efetivo,Aliquid at mollitia inventore.,pendente
Bianca Cardoso,2000-04-18,980.615.243-33,74735,Adestrador de animais,libero,2024-01-05,2024-05-06,11,C0013,qui,2024-03-10,93364-S,Juliana da Cruz,Souza,ambulatorial,afastamento parcial,não,consulta,outro,2024-04-12,2024-04-20,2,11:46:57,CLT,2024-05-17,2024-03-24,temporário,Sed vero harum sint iusto recusandae dignissimos.,aprovado
Samuel da Cruz,1978-01-09,763.049.518-84,32931,Estilista,doloremque,2024-04-30,2024-01-14,9,A0035,repudiandae,2024-06-06,42321-P,Samuel da Luz,Melo da Paz e Filhos,internação,afastamento parcial,não,perícia,outro,2024-02-07,2024-03-21,5,05:32:46,Estatutário,2024-02-16,2024-05-20,efetivo,Earum dolorum voluptates a corporis.,rejeitado
Marcelo Moura,1971-01-24,412.539.768-64,88519,Tecnólogo em esporte e lazer,libero,2024-05-18,2024-04-04,20,C001,laboriosam,2024-03-22,33847-S,Raul Vieira,Moreira,ambulatorial,afastamento parcial,não,perícia,medicação,2024-02-08,2024-01-14,3,20:35:24,CLT,2024-04-03,2024-05-11,efetivo,Voluptas delectus totam debitis omnis temporibus excepturi.,pendente
Eloah da Mota,1976-12-06,670.248.531-07,9234,Turismólogo,praesentium,2024-01-07,2024-04-21,30,B0071,exercitationem,2024-04-29,17035-P,Beatriz Sales,Viana,internação,afastamento total,não,perícia,medicação,2024-05-10,2024-02-15,5,10:35:28,CLT,2024-01-06,2024-05-03,temporário,Vel quia optio hic nulla.,pendente
Beatriz Silva,2002-04-23,924.516.078-58,70792,Tecelão,earum,2024-02-29,2024-01-11,19,A007,distinctio,2024-04-19,82742-P,Rodrigo Pinto,da Mata Vieira - ME,ambulatorial,afastamento total,não,consulta,outro,2024-03-22,2024-05-15,1,20:54:43,Estatutário,2024-05-18,2024-04-24,temporário,Saepe et adipisci alias natus dolores numquam.,pendente
Alana Cunha,1972-11-26,134.769.025-52,65148,Faxineiro,aperiam,2024-04-12,2024-06-03,22,B008,dolorem,2024-02-12,98812-P,Maitê Melo,Porto Rodrigues - EI,internação,afastamento parcial,sim,perícia,medicação,2024-03-29,2024-05-05,1,10:14:23,Estatutário,2024-04-15,2024-03-07,temporário,Cum at cumque aliquid.,pendente
Pedro Henrique Ramos,1961-11-04,983.074.561-93,81598,Profissional de linguística,quisquam,2024-05-10,2024-05-24,2,D0055,iusto,2024-01-02,62031-S,Matheus Aragão,Farias e Filhos,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-02-26,2024-05-03,4,17:56:29,Estatutário,2024-04-29,2024-03-23,temporário,Omnis ipsa magni.,aprovado
Kevin Gomes,1993-03-29,168.473.905-57,36692,Pedagogo,in,2024-02-20,2024-05-09,7,B004,dolores,2024-03-21,35806-S,Joana Cavalcanti,Fernandes,ambulatorial,afastamento parcial,sim,perícia,medicação,2024-04-06,2024-02-09,5,21:13:47,CLT,2024-03-30,2024-03-22,efetivo,Quos blanditiis dolores exercitationem reprehenderit eius.,aprovado
Felipe Cunha,1964-05-23,359.467.280-83,7040,Assistente de direção,numquam,2024-02-09,2024-06-04,10,B0070,sequi,2024-01-06,99353-S,Joana Lima,Fernandes,internação,afastamento total,não,consulta,outro,2024-01-03,2024-01-21,1,13:07:09,CLT,2024-03-25,2024-02-04,temporário,Placeat quam doloribus.,pendente
Helena da Luz,1984-12-22,120.943.865-89,57781,Cirurgião bucal,ipsum,2024-03-05,2024-02-21,27,C0051,ipsa,2024-03-31,92849-S,Rafael Ramos,Sales Carvalho S/A,ambulatorial,afastamento parcial,não,consulta,outro,2024-05-08,2024-02-17,4,23:20:46,Estatutário,2024-05-19,2024-04-22,temporário,Vel repellat similique facere quisquam cupiditate.,rejeitado
Sra. Maitê Caldeira,1964-06-30,973.248.615-55,36495,Continuista,voluptatem,2024-01-28,2024-05-14,20,B0065,architecto,2024-05-15,39948-S,Bárbara Aragão,Cardoso e Filhos,internação,afastamento total,sim,perícia,medicação,2024-02-22,2024-04-12,4,14:45:37,CLT,2024-02-27,2024-05-22,efetivo,Dolor officia adipisci numquam aliquid pariatur.,rejeitado
Enzo Gabriel Moreira,2005-05-15,274.906.351-52,21543,Tecnólogo em desenvolvimento social,aperiam,2024-06-16,2024-05-01,17,B0015,cupiditate,2024-06-14,11378-P,Ana Luiza Moura,da Rosa Cardoso S/A,ambulatorial,afastamento parcial,não,perícia,medicação,2024-02-15,2024-02-27,5,12:56:44,Estatutário,2024-03-30,2024-02-15,efetivo,Ea commodi maiores nesciunt nemo voluptatem ad.,pendente
Catarina Lopes,1997-01-03,514.087.326-53,34939,Peixeiro,repellat,2024-06-09,2024-05-12,26,C0024,doloremque,2024-04-06,79156-P,Guilherme Ramos,Rocha,internação,afastamento parcial,sim,perícia,medicação,2024-03-13,2024-01-02,2,12:26:13,CLT,2024-02-18,2024-05-20,efetivo,Quibusdam blanditiis autem sit.,pendente
Antônio da Paz,1966-10-22,729.803.164-31,5970,Prefeito,illo,2024-02-20,2024-02-02,20,A0063,maxime,2024-03-17,42225-S,Kevin Ribeiro,da Cunha,internação,afastamento total,não,consulta,repouso,2024-02-15,2024-03-13,2,17:27:50,CLT,2024-03-16,2024-04-15,temporário,Facere doloremque porro praesentium quam doloremque.,aprovado
Larissa Ramos,1998-01-16,109.846.352-89,68169,Coordenador,eius,2024-01-18,2024-02-10,20,D0050,nulla,2024-04-11,98647-P,Otávio Fogaça,Duarte - ME,internação,afastamento total,não,consulta,medicação,2024-03-30,2024-06-03,4,00:46:31,CLT,2024-02-06,2024-05-15,temporário,Atque quia eaque molestias illo.,aprovado
Heloísa Mendes,1981-03-28,048.936.257-56,90885,Diretor de cinema,voluptatem,2024-06-17,2024-01-19,18,D002,amet,2024-05-09,28069-S,Sr. Benício Gomes,Moreira S/A,ambulatorial,afastamento parcial,não,perícia,repouso,2024-05-21,2024-04-01,0,22:03:13,Estatutário,2024-03-14,2024-06-16,efetivo,Animi iure deleniti explicabo enim consequuntur eveniet.,aprovado
Sra. Emanuelly Porto,1992-08-20,913.842.076-78,63224,Bedel,nobis,2024-02-18,2024-05-09,13,A0067,quis,2024-04-13,13707-S,Erick Barbosa,da Rocha - EI,internação,afastamento parcial,não,perícia,outro,2024-02-08,2024-04-08,3,16:56:41,CLT,2024-02-07,2024-05-31,efetivo,Dignissimos nihil nemo voluptate ad nihil natus.,pendente
Luiz Henrique Costela,1999-06-19,648.097.215-58,27215,Engenheiro de alimentos,animi,2024-01-23,2024-05-01,19,B0069,animi,2024-02-24,87048-P,Diego Nunes,Moreira,internação,afastamento parcial,sim,perícia,repouso,2024-02-27,2024-05-06,0,11:16:54,CLT,2024-04-20,2024-01-09,temporário,Consequatur unde ipsa dolor aspernatur ratione nam.,rejeitado
Ana Clara Ramos,1996-03-11,742.385.096-92,2396,Advogado,tenetur,2024-05-08,2024-06-17,21,C0022,voluptate,2024-01-02,42349-P,Srta. Isabelly Moura,Aragão,ambulatorial,afastamento total,não,perícia,outro,2024-02-11,2024-01-25,5,22:10:38,Estatutário,2024-03-21,2024-02-23,temporário,Recusandae ipsum doloremque repudiandae minima sed.,rejeitado
Julia Campos,1994-10-23,129.308.476-03,35960,Marcador de luz,ab,2024-04-07,2024-04-03,24,A002,necessitatibus,2024-02-09,90311-S,Pietro da Rosa,Aragão - EI,internação,afastamento total,não,perícia,repouso,2024-05-28,2024-02-26,2,19:32:58,Estatutário,2024-03-05,2024-01-30,temporário,Quos dolorem nam.,aprovado
Nathan Nascimento,1958-08-23,463.205.718-53,31260,Jogador de futebol,pariatur,2024-02-06,2024-04-26,22,D0080,doloribus,2024-01-02,42535-P,Emilly Monteiro,Cardoso,ambulatorial,afastamento total,não,consulta,outro,2024-04-26,2024-05-13,0,16:54:25,CLT,2024-03-03,2024-04-11,temporário,Numquam culpa alias dolorum in minima.,pendente
Sra. Maria Clara da Rosa,2003-08-12,570.268.149-58,69507,Pecuarista,sapiente,2024-03-03,2024-02-08,16,B0074,quam,2024-02-29,88122-S,Clarice Costela,Cardoso Cardoso - ME,internação,afastamento total,sim,consulta,outro,2024-05-11,2024-01-27,1,12:01:35,CLT,2024-03-07,2024-04-01,efetivo,Et explicabo eum explicabo.,pendente
Rafaela Costela,1970-12-29,954.123.876-91,14724,Cientista de alimentos,error,2024-03-14,2024-03-20,22,B0089,placeat,2024-05-20,19354-P,Gabriel Nogueira,Santos,internação,afastamento total,sim,perícia,outro,2024-05-10,2024-05-09,0,15:54:13,Estatutário,2024-01-24,2024-04-30,temporário,Veniam quod dolorem facere accusantium.,aprovado
Luiz Felipe Costa,1969-05-11,607.538.491-00,82861,Ortoptista,dolorum,2024-04-19,2024-05-26,14,A0079,delectus,2024-03-18,22772-P,Breno Barros,da Cunha,internação,afastamento total,sim,consulta,repouso,2024-05-31,2024-05-23,2,12:41:15,CLT,2024-05-04,2024-04-03,temporário,Magni unde culpa hic quaerat.,pendente
Maria Sophia Pinto,1973-10-18,016.597.843-01,31584,Produtor editorial,natus,2024-03-03,2024-04-16,21,C0069,incidunt,2024-02-10,88313-P,Mariane da Paz,Campos Pinto Ltda.,ambulatorial,afastamento total,sim,perícia,outro,2024-04-07,2024-04-03,5,06:09:54,CLT,2024-01-03,2024-01-20,efetivo,Corrupti autem cumque nobis necessitatibus qui.,rejeitado
Amanda Peixoto,1965-09-20,350.482.691-60,66589,Tecnólogo em papel e celulose,aspernatur,2024-02-17,2024-06-14,8,C0026,porro,2024-01-28,84571-P,Alexandre Vieira,Campos S/A,ambulatorial,afastamento total,sim,consulta,medicação,2024-04-18,2024-02-06,1,00:15:33,CLT,2024-02-02,2024-05-20,efetivo,Deserunt esse repellendus quo beatae amet incidunt.,rejeitado
Clara Correia,1961-05-16,037.654.128-80,58305,Nefrologista,occaecati,2024-05-23,2024-06-10,29,C0095,at,2024-02-13,15165-S,Clarice Oliveira,da Mota,internação,afastamento total,não,perícia,repouso,2024-03-07,2024-03-27,4,02:32:08,CLT,2024-03-04,2024-04-23,temporário,Impedit consequatur illo dicta.,pendente
Davi das Neves,1960-06-06,920.354.168-33,84246,Técnico em edificações,quo,2024-02-27,2024-04-30,25,A0035,accusamus,2024-05-19,60002-P,Murilo Moura,Moura,ambulatorial,afastamento parcial,não,perícia,outro,2024-01-08,2024-04-17,2,13:10:26,Estatutário,2024-02-21,2024-02-05,efetivo,Eaque aliquid doloribus dolorum adipisci deleniti laudantium asperiores.,pendente
Nicolas Araújo,1976-11-05,937.806.412-40,89598,Trilheiro ou músico de cinema,quas,2024-05-19,2024-01-18,14,A0041,beatae,2024-05-23,32546-P,Srta. Ana Júlia Lopes,Peixoto,internação,afastamento parcial,sim,perícia,outro,2024-05-28,2024-01-03,2,15:55:37,Estatutário,2024-01-28,2024-04-24,temporário,Blanditiis delectus quod eveniet atque sunt iure corrupti.,pendente
Isadora Sales,1961-10-25,075.381.629-68,28087,Engenheiro de transportes,harum,2024-01-22,2024-03-06,1,B0010,quasi,2024-05-28,65828-S,Dr. Davi Lucas Jesus,Cavalcanti,ambulatorial,afastamento total,não,consulta,medicação,2024-03-17,2024-05-10,4,07:28:43,Estatutário,2024-03-23,2024-06-14,temporário,Odio ea explicabo.,rejeitado
Fernanda Rezende,1978-03-15,126.390.758-02,32846,Orientador educacional,optio,2024-03-20,2024-02-14,5,A0017,explicabo,2024-05-08,94098-P,Kevin Lima,das Neves das Neves Ltda.,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-02-03,2024-03-26,5,12:44:57,Estatutário,2024-03-27,2024-06-03,temporário,Impedit adipisci quidem consequuntur omnis eius.,rejeitado
Srta. Sofia Alves,1981-05-31,082.645.317-17,72537,Contramestre em transporte marítimo,delectus,2024-01-30,2024-03-24,28,C0077,veniam,2024-01-02,48116-P,João Barros,Lima,internação,afastamento parcial,sim,consulta,repouso,2024-05-29,2024-04-17,5,22:52:32,Estatutário,2024-05-01,2024-02-08,efetivo,Officiis voluptatum ipsum quidem.,pendente
Sabrina Fernandes,2001-12-25,234.598.671-91,55674,Garimpeiro,facere,2024-05-18,2024-05-19,19,A0081,est,2024-03-04,64561-P,Laís da Mota,Moreira e Filhos,ambulatorial,afastamento total,não,consulta,repouso,2024-01-06,2024-01-12,1,07:01:49,Estatutário,2024-03-05,2024-01-26,temporário,Numquam odio pariatur accusamus architecto soluta necessitatibus.,aprovado
Giovanna Ferreira,1974-04-14,790.158.432-79,86970,Guarda roupeiro,dolores,2024-05-30,2024-05-10,8,C0056,provident,2024-06-15,58259-P,Raul Nogueira,Fogaça,ambulatorial,afastamento total,não,perícia,repouso,2024-05-17,2024-04-17,2,05:28:54,CLT,2024-01-16,2024-03-20,temporário,Officiis voluptatum voluptate natus.,pendente
Emanuelly das Neves,1973-10-08,270.458.319-60,87883,Lutador de taekwondo,nulla,2024-01-10,2024-03-31,26,B002,error,2024-05-15,30714-S,Dr. Gustavo Henrique Dias,Moraes,ambulatorial,afastamento parcial,sim,perícia,repouso,2024-04-09,2024-02-08,5,14:35:19,Estatutário,2024-06-10,2024-01-29,efetivo,Molestias voluptatibus amet sunt vero rem iusto.,rejeitado
Dra. Caroline da Luz,1978-03-05,073.915.426-52,19737,Engenheiro têxtil,magnam,2024-06-04,2024-03-30,11,C0051,earum,2024-02-07,40608-P,João Miguel Mendes,Azevedo Porto S.A.,internação,afastamento parcial,sim,perícia,repouso,2024-02-17,2024-02-22,0,08:59:09,CLT,2024-05-24,2024-02-17,efetivo,Hic maxime ipsa incidunt nihil illo excepturi quis.,aprovado
Miguel Azevedo,1986-12-13,340.786.951-75,16323,Construtor,impedit,2024-06-11,2024-03-04,8,A0032,dolore,2024-05-12,48545-S,Dra. Gabrielly da Conceição,Viana Novaes - ME,internação,afastamento parcial,sim,consulta,outro,2024-03-24,2024-03-27,0,15:58:55,Estatutário,2024-04-04,2024-02-12,temporário,Molestiae exercitationem quae.,rejeitado
Dra. Maria Eduarda Gonçalves,1968-01-24,935.876.210-12,10482,Agente de defesa sanitária,dolorem,2024-05-18,2024-02-02,27,A0051,ea,2024-01-17,84818-P,Breno Jesus,da Rocha,ambulatorial,afastamento parcial,sim,consulta,repouso,2024-01-29,2024-01-14,1,22:12:54,CLT,2024-02-26,2024-06-17,temporário,Natus eaque optio aperiam magni commodi iste.,pendente
Benício da Rosa,1981-01-15,604.938.271-96,88272,Protético dentário,aut,2024-04-08,2024-05-13,26,B0041,excepturi,2024-04-23,68102-S,Dra. Marcela Cunha,Cardoso,ambulatorial,afastamento total,não,perícia,repouso,2024-03-14,2024-05-21,1,19:55:00,CLT,2024-03-03,2024-02-13,temporário,Quos consequatur fugit itaque.,aprovado
Luiza Pinto,1966-05-31,813.294.567-00,42127,Fisiculturista,rem,2024-05-20,2024-02-24,7,A0080,ullam,2024-01-20,96939-S,Srta. Maria Sophia Pires,Silva - ME,internação,afastamento total,não,consulta,medicação,2024-05-05,2024-05-27,0,09:24:49,CLT,2024-06-04,2024-05-23,temporário,Eum magni temporibus.,pendente
Clara Azevedo,2005-03-05,324.589.071-05,81935,Analista de sistemas,architecto,2024-02-11,2024-02-14,2,D0025,itaque,2024-05-19,52510-S,Samuel Cardoso,Martins das Neves S/A,ambulatorial,afastamento total,sim,perícia,medicação,2024-04-25,2024-03-31,2,07:58:10,CLT,2024-02-10,2024-01-15,temporário,Amet quisquam explicabo adipisci natus officiis dolorum.,rejeitado
Luiz Miguel Cunha,2004-03-15,520.316.849-06,20959,Químico farmacêutico,quos,2024-01-21,2024-04-04,25,B0022,illo,2024-02-11,80128-P,Luna Gonçalves,Costela,internação,afastamento total,sim,perícia,medicação,2024-04-11,2024-04-30,4,12:35:52,Estatutário,2024-01-27,2024-02-12,temporário,Incidunt culpa quia sit ex.,pendente
Felipe da Mota,1958-09-13,205.986.473-92,41294,Gandula,porro,2024-01-15,2024-04-08,21,C0083,ducimus,2024-03-24,81270-P,Pedro Henrique Martins,Campos,internação,afastamento total,não,perícia,outro,2024-04-10,2024-06-10,0,13:19:32,CLT,2024-02-09,2024-01-29,efetivo,Eos vitae sint aperiam possimus tempore ullam ea.,rejeitado
Milena da Mata,1987-05-05,349.820.615-05,57417,Capitão,dolores,2024-04-03,2024-01-10,11,D0086,modi,2024-01-16,44334-P,Srta. Carolina Costela,Pires,ambulatorial,afastamento total,sim,perícia,outro,2024-04-19,2024-05-13,1,18:33:48,CLT,2024-03-25,2024-01-12,efetivo,Temporibus eum sed adipisci animi.,aprovado
Maria Sophia Castro,1979-08-08,612.438.975-46,72295,Tecnólogo em recursos pesqueiros,unde,2024-04-23,2024-01-31,19,B0083,labore,2024-05-09,35478-S,Srta. Lavínia Ramos,Azevedo Ltda.,internação,afastamento total,sim,consulta,repouso,2024-03-10,2024-01-23,3,11:33:00,CLT,2024-04-12,2024-02-26,temporário,Architecto pariatur commodi omnis dolore sunt animi.,pendente
Henrique da Cruz,1995-06-25,073.928.651-02,58365,Guarda ou policial rodoviário,fugit,2024-02-15,2024-05-07,3,D003,nam,2024-01-23,97960-S,Sr. Raul Monteiro,Azevedo Nascimento S/A,internação,afastamento total,sim,consulta,repouso,2024-01-19,2024-03-19,2,23:16:48,Estatutário,2024-02-10,2024-05-22,efetivo,Modi mollitia quidem repellat porro vitae consectetur molestiae.,pendente
Pedro Lucas Pinto,1994-03-16,312.468.579-28,58390,Instalador de linha telefônica,alias,2024-05-20,2024-02-11,13,B0080,ad,2024-03-23,17823-P,Juan Melo,Campos Porto e Filhos,internação,afastamento parcial,sim,perícia,outro,2024-04-27,2024-05-27,5,17:43:56,Estatutário,2024-04-16,2024-04-14,efetivo,Ratione veritatis fugit facere.,rejeitado
